Flag,Time,Tweet,Source,Link,nTweets_in_Cluster,nSource,BestSim,AveSim,nFeatures,nClusters
0,"('2015-08-07 00:07:47',)",“Malaysia hides the truth”  ,thetimes,http://t.co/mCi1JtnwVj,7,3,0.486392072,0.396890656,28,24
0,"('2015-08-07 00:18:38',)",RT @CNNMoney: .@CVSHealth won't cover more than 24 prescription drugs for 2016. Are yours on the list?  ,cnn,http://t.co/IgkT2fFhgR,4,3,0.541195291,0.510125485,25,22
0,"('2015-08-07 00:29:14',)",Attorneys general in two states face serious charges during the same week:  ,cnn,http://t.co/Ng6492XShv,4,3,0.546438057,0.493290922,27,24
0,"('2015-08-07 00:35:06',)","RT @IvanCNN: Japanese pray for peace, 70 years after the U.S. dropped an atomic bomb on Hiroshima 

 ",cnn,http://t.co/L4ebVku7qc,4,4,0.568758846,0.51152719,27,24
0,"('2015-08-07 00:45:21',)",Check out our live coverage of the #GOPdebate  ,sfgate,http://t.co/TFG54LS4eT,3,1,0.961849236,0.875723366,27,24
0,"('2015-08-07 00:55:02',)",S.F. city attorney looking at misuse of affordable housing units ,sfgate,http://t.co/KcwM8W1OHX,5,3,0.508605152,0.450903492,28,25
0,"('2015-08-07 01:05:42',)","RT @OutFrontCNN: Wondering what's on the mind of a #Ferguson police officer today?
 @CNN ",cnn,http://t.co/iHHVOVojzd,5,2,0.487878232,0.458843697,27,24
0,"('2015-08-07 01:15:47',)",S.F. city attorney looking at misuse of affordable housing units ,sfgate,http://t.co/KcwM8W1OHX,5,3,0.463874606,0.450049956,27,23
0,"('2015-08-07 01:26:35',)","RT @OutFrontCNN: Wondering what's on the mind of a #Ferguson police officer today?
 @CNN ",cnn,http://t.co/iHHVOVojzd,5,2,0.488428782,0.461669312,26,22
0,"('2015-08-07 01:36:15',)","New WoW expansion introduces new class, raises level cap, and more  ",cnet,http://t.co/STKcTfcpo9,4,3,0.5719775,0.521538181,24,20
0,"('2015-08-07 01:41:16',)","New WoW expansion introduces new class, raises level cap, and more  ",cnet,http://t.co/STKcTfcpo9,4,3,0.528591492,0.512811546,21,17
0,"('2015-08-07 01:50:55',)",Rick Perry’s team denies he said ‘Ronald Raven’ instead of 'Ronald Reagan' in early #GOPDebate  ,abc,http://t.co/l3iqKAPSIF,3,3,0.632546237,0.618807259,21,17
0,"('2015-08-07 02:00:01',)",Rick Perry’s team denies he said ‘Ronald Raven’ instead of 'Ronald Reagan' in early #GOPDebate  ,abc,http://t.co/l3iqKAPSIF,4,2,0.555051104,0.529140256,20,16
0,"('2015-08-07 02:04:45',)",Cash given to children by Kids Company used to buy drugs  ,thetimes,http://t.co/KsYjigUNBf,3,2,0.639605924,0.618884978,20,16
0,"('2015-08-07 02:12:42',)","He's signing off after 16 years of hosting @TheDailyShow. Jon Stewart, in his own words:  ",cnn,http://t.co/IQf9CF3TSj,4,3,0.579241517,0.554690741,19,15
0,"('2015-08-07 02:20:47',)","He's signing off after 16 years of hosting @TheDailyShow. Jon Stewart, in his own words:  ",cnn,http://t.co/IQf9CF3TSj,4,3,0.58451554,0.557073699,19,14
0,"('2015-08-07 02:30:06',)","He's signing off after 16 years of hosting @TheDailyShow. Jon Stewart, in his own words:  ",cnn,http://t.co/IQf9CF3TSj,3,3,0.63942677,0.630672568,16,13
